Protein Group#,Protein Accession #,Protein Description,GN,PSM#,Total Peptide#,Unique Peptide#,% Coverage,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,Ctrl7,Ctrl8,Ctrl9,Ctrl10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10
SJPG0101163.001,sp|P05230|FGF1_HUMAN,Fibroblast growth factor 1 OS=Homo sapiens OX=9606 GN=FGF1 PE=1 SV=1,FGF1,16,6,3,40.64,241190.58,398110.42,235773.59,468724.46,213129.5,377775.82,145871.2,439016.22,544715.75,362561.09,428937.19,240384.27,219341.68,192347.38,249584.45,160899.92,170770.87,382402.11,206321.04,371173.31
SJPG0100691.002,sp|Q08209-2|PP2BA_HUMAN,Isoform 2 of Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP3CA,PPP3CA,118,25,0,47.75,1676143.95,2373413.92,1824805.72,1833908.27,1621891.26,2225520.42,1630101.63,2105984.87,1665947.42,1775136.36,1835342.08,2049673.96,2149794.22,2367045.03,2054438.35,2651813.63,1697682.86,1971987.8,2296484.42,2245252.52
SJPG0102005.001,sp|Q9Y4D1|DAAM1_HUMAN,Disheveled-associated activator of morphogenesis 1 OS=Homo sapiens OX=9606 GN=DAAM1 PE=1 SV=2,DAAM1,98,38,0,33.02,725992.68,752439.75,743034.25,713059.19,744390.82,731861.79,799038.51,639446.63,659443.49,694561.75,646557.1,652563.03,613428.32,701760.18,658224.38,679851.78,573277.45,657589.62,671128.69,695517.15
SJPG0104261.001,sp|P02747|C1QC_HUMAN,Complement C1q subcomponent subunit C OS=Homo sapiens OX=9606 GN=C1QC PE=1 SV=3,C1QC,25,5,5,25.31,434091.81,801941.71,745811.14,1295483.77,261785.65,642926.78,488632.66,566124.62,1932804.44,718032.74,581288.79,874489.06,1887962.53,527953.9,1241296.27,683477.88,514776.58,1244695.41,759362.18,1563669.46
SJPG0111688.001,sp|Q32M84|BTBDG_HUMAN,BTB/POZ domain-containing protein 16 OS=Homo sapiens OX=9606 GN=BTBD16 PE=1 SV=2,BTBD16,1,1,0,1.58,156550.67,102109.59,96945.98,137764.51,141642.52,101897.55,97384.67,100690.74,103015.28,92539.55,111760.86,193954.62,60385.76,76600.64,123888.86,95230.96,41859.75,247958.25,118136.56,138320.09
SJPG0104572.001,sp|P01042|KNG1_HUMAN,Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2,KNG1,25,9,0,13.82,127330.42,121245.38,163448.85,562651.34,92188.52,182992.68,110889.64,208178.29,278919.34,186480.68,98106.8,147506.79,149354.27,137311.53,117708.06,184132.89,114111.86,131204.35,203242.6,143391.28
SJPG0101678.001,sp|O60504|VINEX_HUMAN,Vinexin OS=Homo sapiens OX=9606 GN=SORBS3 PE=1 SV=2,SORBS3,59,20,6,46.05,412649.07,505446.88,458034.24,853252.53,309427.36,521401.04,434226.98,452919.77,515100.07,467546.52,387654.95,408374.3,388190.95,365429.13,363717.7,560733.88,358041.49,385763.94,384824.47,480798.05
SJPG0104751.001,sp|Q08623|HDHD1_HUMAN,Pseudouridine-5'-phosphatase OS=Homo sapiens OX=9606 GN=PUDP PE=1 SV=3,PUDP,3,3,0,15.35,87111.16,111697.08,121734.66,162212.11,69314.14,284398.81,63504.08,134178.23,136842.81,97647.94,156589.95,77751.11,100383.68,89649.98,103649.13,88954.45,66075.43,91358.47,68081.66,161696.7
SJPG0107925.001,sp|Q96CB8|INT12_HUMAN,Integrator complex subunit 12 OS=Homo sapiens OX=9606 GN=INTS12 PE=1 SV=1,INTS12,2,2,2,6.93,69706.76,72707.05,77055.06,78486.4,62710.28,84557.21,76134.53,70716.52,72260.32,65308.63,77314.85,95940.02,107041.3,101880.85,80724.47,81890.9,95894.76,74250.18,85630.94,97378.25
SJPG0102994.001,sp|P0C0L4|CO4A_HUMAN,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2,C4A,343,65,0,44.44,2606715.12,3691445.11,3559053.59,7594339.08,1598700.29,3666537.36,2919549.04,2843448.21,3008916.32,2573859.95,8063083.91,8345489.78,7402779.81,6929703.42,9394842.3,10278652.42,6675590.51,7991789.5,7291341.98,21321950.75
SJPG0101569.001,sp|O75146|HIP1R_HUMAN,Huntingtin-interacting protein 1-related protein OS=Homo sapiens OX=9606 GN=HIP1R PE=1 SV=2,HIP1R,164,51,18,53.46,2057936.66,2323906.98,1963589.14,1777221.4,2412539.81,2769944.29,2010188.67,2132356.82,2052782.86,1890803.96,2647054.03,2212543.22,1903142.35,1834079.74,2288811.11,2173191.01,2202639.52,1896638.41,2174510.16,1833025.76
SJPG0102546.001,sp|Q96EI5|TCAL4_HUMAN,Transcription elongation factor A protein-like 4 OS=Homo sapiens OX=9606 GN=TCEAL4 PE=1 SV=2,TCEAL4,2,2,0,7.44,66229.17,80340.83,74711.07,70274.48,71406.53,75248.9,71572.3,63919.35,77998.9,61557.93,103704.53,79052.19,83783.39,93216.24,82822.46,84502.16,80962.18,81723.51,87958.31,119076.75
SJPG0102992.001,sp|P36873|PP1G_HUMAN,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1,PPP1CC,161,20,0,66.56,2606073.05,2204577.49,2061640.29,2033680.38,2870321.95,2762670.89,2265842.56,1781418.74,2155389.16,2522858,2512859.72,2215224.98,1796542.95,1792849.82,1968435.41,2211409.66,2363163.66,2230135.9,2230763.28,2075505.73
SJPG0103054.001,sp|P0C0L5|CO4B_HUMAN,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2,C4B,360,66,3,44.44,2582835.8,3587264.35,3517342.35,7321927.11,1563488.31,3689798.71,2856843.8,2903108.23,2903312.46,2521529.52,8076138.48,8350348.55,7145174.31,6462721.71,9240327.64,9304532.27,6343635.69,7584541.99,7409397.25,19608681.93
SJPG0103216.001,sp|Q9NQ88|TIGAR_HUMAN,"Fructose-2,6-bisphosphatase TIGAR OS=Homo sapiens OX=9606 GN=TIGAR PE=1 SV=1",TIGAR,15,8,7,35.55,188968.96,302424.04,203520.83,290177.11,195285.9,314284.55,169234.16,296516.05,387546.46,305517.43,383164.25,283645.38,202931.9,198350.78,308791.26,167334.64,264380.09,382161.15,215006.68,299359.78
SJPG0102426.002,sp|Q9Y2D5-4|AKAP2_HUMAN,Isoform 3 of A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2,AKAP2,75,31,0,30.46,2705626.36,3548905.05,3091209.39,3379208.36,2563869.84,3440715.03,3026958.82,3348579.65,3422269.48,3047026.1,2288406.41,2825609.47,3118442.92,3015489.15,3205427.73,3277857.24,2435008.58,2671006.15,2633430,3126649.48
SJPG0109077.001,sp|P08174|DAF_HUMAN,Complement decay-accelerating factor OS=Homo sapiens OX=9606 GN=CD55 PE=1 SV=4,CD55,63,14,0,42.26,1313185.21,1862286.42,2168224.1,1829299.28,855036.97,1941804.66,1234339.8,1063780.99,1815964.26,1641139.64,482825.44,1289407.93,1487882.26,1337557.75,892343.22,1009140.74,986094.6,980664.62,1231275.35,1795667.24
SJPG0172795.001,cu|VPS9D1-AS1_89778377_267aa|ribo,NA,NA,1,1,1,5.62,32469.59,40454.94,38880.89,44125.1,29008.53,45072.61,24867.18,40241.98,48193.24,35540.6,43733.14,35930.15,30311.61,41769.04,42494.22,26343.42,35886.74,40048.61,35097.97,56818.98
SJPG0104100.001,sp|Q14839|CHD4_HUMAN,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2,CHD4,134,56,0,30.44,655790.36,640598.58,571679,601861.51,564304.14,615062.69,616245.47,654114.56,713084.78,588200.19,915110.08,724761.29,574105,638029.1,719226.77,735418.15,755512.71,660924.24,785597.82,638790.44
SJPG0104854.010,tr|H3BQB2|H3BQB2_HUMAN,Conserved oligomeric Golgi complex subunit 4 (Fragment) OS=Homo sapiens OX=9606 GN=COG4 PE=1 SV=2,COG4,2,2,0,10.49,101248.88,115792.3,101414.43,114041.46,116481,140469.53,143751.43,126596.53,92001.6,106769.96,99227.67,115026.15,102512.57,125915.02,112369.03,102017.8,115463.98,87955.37,110451.48,89980.35
SJPG0108452.001,sp|O14508|SOCS2_HUMAN,Suppressor of cytokine signaling 2 OS=Homo sapiens OX=9606 GN=SOCS2 PE=1 SV=1,SOCS2,1,1,0,3.54,268962.28,510700.34,252290.98,521378.13,282644.72,488879.52,219663.8,522436.74,558310.89,715207.63,583088.06,432102.07,290832.42,240756.2,446893.22,144007.4,297497.25,532395.89,345516.58,530138.11
SJPG0108388.001,sp|Q13795|ARFRP_HUMAN,ADP-ribosylation factor-related protein 1 OS=Homo sapiens OX=9606 GN=ARFRP1 PE=1 SV=1,ARFRP1,2,2,0,11.94,108516.29,180037.1,148333.69,181428.56,84664.21,146708.72,134621.71,133461.48,108356.41,111982.25,126945.75,140920.11,145037.65,100201,118075.49,138202.1,111256.4,97176.82,123382.17,128473.14
SJPG0112779.001,sp|Q9H9A5|CNO10_HUMAN,CCR4-NOT transcription complex subunit 10 OS=Homo sapiens OX=9606 GN=CNOT10 PE=1 SV=1,CNOT10,1,1,0,1.61,94670.77,120130.42,114834.93,114087.28,122713.01,113754.4,108005.23,119021.06,118615.16,109290.15,124420.53,128078.6,105668.67,116772.49,107492.31,113735.61,97493.31,125115.08,102557.6,177619.03
SJPG0103886.001,sp|Q9NP78|ABCB9_HUMAN,ATP-binding cassette sub-family B member 9 OS=Homo sapiens OX=9606 GN=ABCB9 PE=1 SV=1,ABCB9,25,13,0,22.45,451184.5,330189.05,497735.95,361801.03,364671.6,455290.09,436865.25,381663.55,297912.25,381914.48,396173.2,388693.8,367346.4,394910.21,376179.31,336045.97,381298.6,461830.29,303732.71,308393.75
SJPG0107890.001,sp|Q99759|M3K3_HUMAN,Mitogen-activated protein kinase kinase kinase 3 OS=Homo sapiens OX=9606 GN=MAP3K3 PE=1 SV=2,MAP3K3,14,4,0,5.59,1251399.84,1162557.69,876934.09,1115294.51,950319.1,1184515.11,1076720.83,1338239.15,1079946.38,1375491.23,1646598.68,897020.45,710993.85,711710.39,1094270.08,673794.7,858907.69,1078259.47,934339.04,775449.19
SJPG0100056.003,tr|K7EM38|K7EM38_HUMAN,"Actin, cytoplasmic 2 (Fragment) OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",ACTG1,1038,17,1,78.94,127767550.2,156612875.1,152003929,189209876.3,144288812.7,218378829.3,126579257.1,155337731.4,154896387.8,160662800.6,137111169.5,126887590.7,124152122.3,127506942.6,141547391.4,105305342.9,119481202.9,123201275.6,121377413.1,176795841.8
SJPG0109816.001,sp|Q8IYH5|ZZZ3_HUMAN,ZZ-type zinc finger-containing protein 3 OS=Homo sapiens OX=9606 GN=ZZZ3 PE=1 SV=1,ZZZ3,1,1,0,1.33,131306.14,114709.29,109911.26,110655.73,114458.46,120531.85,134244,125588.7,116054.58,107128.12,145779.54,123011.89,92109.62,134906.79,134783.32,145437.85,122769.85,116267.37,129998.46,134103.71
SJPG0102208.002,sp|Q2KHT3-2|CL16A_HUMAN,Isoform 2 of Protein CLEC16A OS=Homo sapiens OX=9606 GN=CLEC16A,CLEC16A,7,6,1,6.4,250928.39,261240.68,327804.13,389869.59,168000.49,316280.45,253120.38,343566.17,274988.08,322101.57,201522.63,283560.88,403640.99,381896.5,317785.13,293107.81,282698.17,324496.93,287163.24,321001.63
SJPG0120996.001,sp|Q8IUC6|TCAM1_HUMAN,TIR domain-containing adapter molecule 1 OS=Homo sapiens OX=9606 GN=TICAM1 PE=1 SV=1,TICAM1,4,4,1,5.48,56924.15,55029.55,79210.72,87311.85,41698.69,59438.01,61104.78,60980.99,78067.02,59868.27,63242.8,65296.2,95868.22,93575.71,64010.79,88087.4,71032.69,69709.62,63409.13,83799.61
SJPG0100551.010,tr|Q14473|Q14473_HUMAN,GLOBIN domain-containing protein OS=Homo sapiens OX=9606 PE=3 SV=1,NA,263,11,0,60.57,10254215.8,14953343.08,19356537.66,42978507.12,11849004.84,28418528.69,9527925.27,14637499.73,20313436.41,10668096.76,5768530.62,16821143.17,9700912.33,17212267.69,13200228.69,14108968.08,8493631.53,17230582.4,21093064.49,15403318.22
SJPG0107322.001,sp|Q9Y6N6|LAMC3_HUMAN,Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3,LAMC3,256,32,25,26.86,2311073.76,2796383.34,4168648.83,3455005.77,1560767.19,3868438.25,2948761.5,2127955.59,5293763.09,2704379.96,2259017.07,3787609.51,5092978.64,3565232.43,3112990.44,3561732.51,3284665.3,3338316.75,2528409.12,3502629.43
SJPG0101130.001,sp|P13521|SCG2_HUMAN,Secretogranin-2 OS=Homo sapiens OX=9606 GN=SCG2 PE=1 SV=2,SCG2,21,11,2,19.45,172694.97,265951.99,327933.88,222939.53,194733.78,358278.25,248321.53,218913.57,275898.4,184857.15,117134.1,258976.2,342138.7,386492.17,193471.05,196759.38,180774.66,185237.72,215574.45,237631.7
SJPG0103937.001,sp|Q6UVY6|MOXD1_HUMAN,DBH-like monooxygenase protein 1 OS=Homo sapiens OX=9606 GN=MOXD1 PE=1 SV=1,MOXD1,23,11,0,21.04,551434.08,765076.8,869424.97,592275.1,484371.32,721691.77,742522.02,618899.85,563957.16,536777.71,340200.47,744742.13,931974.96,795706.03,479606.75,722156.66,467962.51,491007.71,705486.29,639403.93
SJPG0107053.001,sp|P29400|CO4A5_HUMAN,Collagen alpha-5(IV) chain OS=Homo sapiens OX=9606 GN=COL4A5 PE=1 SV=2,COL4A5,77,8,0,5.64,16026806.96,26240578.88,25533953.44,41033971.48,12250245.84,26061963.45,18909173.86,11670259.86,27142175.99,28145908.72,15035488.21,21067102.33,30324189.14,24630036.34,17250913.44,26097586.49,24987865.85,22120844.31,16676085.3,29137737.88
SJPG0104213.002,sp|P13051-2|UNG_HUMAN,Isoform 1 of Uracil-DNA glycosylase OS=Homo sapiens OX=9606 GN=UNG,UNG,19,7,0,29.28,390803.24,231394.58,236553.69,266914.16,359126.03,268929.93,381618.46,318597.1,229682.97,214047.27,329327.14,304183.6,169072.19,228710.07,344408.58,349390.02,352294.41,294006.9,345924.86,269888.63
SJPG0110022.001,sp|P17029|ZKSC1_HUMAN,Zinc finger protein with KRAB and SCAN domains 1 OS=Homo sapiens OX=9606 GN=ZKSCAN1 PE=1 SV=3,ZKSCAN1,5,4,3,8.35,84536.81,84959.32,98291.72,70534.52,73601.93,102987.84,98766.42,94361.91,55149.05,61220.9,86284.23,84128.71,98394.14,103602.13,80375.06,106828.35,101933.13,73103.52,93933.46,96876.78
SJPG0109504.001,sp|Q9H257|CARD9_HUMAN,Caspase recruitment domain-containing protein 9 OS=Homo sapiens OX=9606 GN=CARD9 PE=1 SV=2,CARD9,1,1,0,1.87,78791.71,78539.85,62678.38,47803.07,64827.55,63565.33,122940.66,49299.93,94787.24,54010.21,85022.06,71325.58,80496.02,82744.71,107536.65,89001.99,64587.54,63392.39,86876.76,43188.72
SJPG0105867.001,sp|O95271|TNKS1_HUMAN,Poly [ADP-ribose] polymerase tankyrase-1 OS=Homo sapiens OX=9606 GN=TNKS PE=1 SV=2,TNKS,28,21,4,18.84,226259.03,217337.92,257063.31,207412.6,198241.87,239522.12,224174.37,196521.35,292717.51,218015.53,246684.22,263092.98,344263.25,280659.9,241672.83,295692.53,250808.16,230601.16,274281.4,281926.4
SJPG0109077.002,sp|P08174-2|DAF_HUMAN,Isoform 1 of Complement decay-accelerating factor OS=Homo sapiens OX=9606 GN=CD55,CD55,74,16,0,42.73,1316443.16,1723501.58,2094193.94,1830593.25,858395.94,1861456.58,1219752.19,1101240.52,1750414.55,1625300.19,553102.57,1271338.51,1491037.53,1335156.69,925374.81,1035590.52,1014295.02,1044969.7,1207110.81,1812014.19
SJPG0103153.001,sp|Q9NXG2|THUM1_HUMAN,THUMP domain-containing protein 1 OS=Homo sapiens OX=9606 GN=THUMPD1 PE=1 SV=2,THUMPD1,4,3,0,7.08,80290.42,97802.52,87134.07,108656.04,68015.6,143022.7,83207.44,53568.32,65985.67,100213.69,61981.65,71997.12,65284.87,65837.57,61955.56,120278.15,70436.19,70646.79,84877.7,80973.26
SJPG0105748.001,sp|Q9Y5W9|SNX11_HUMAN,Sorting nexin-11 OS=Homo sapiens OX=9606 GN=SNX11 PE=1 SV=2,SNX11,11,6,0,27.78,130453.84,129571.32,149060.66,126250.66,132977.72,158568.24,145786.85,118922.11,118155.69,114438.79,122255.56,117631.71,151875.58,134950.96,122340.25,141246.95,122955.49,118841.87,136245.27,129257.73
SJPG0104124.001,sp|Q155Q3|DIXC1_HUMAN,Dixin OS=Homo sapiens OX=9606 GN=DIXDC1 PE=1 SV=2,DIXDC1,6,6,0,7.91,123898.82,131653.39,137097.58,125749.67,125263.34,134086.28,139672.75,113822.17,151469.03,113046.77,125175.18,120184.52,144991.22,148668.92,117857.41,133176.96,114785.54,106471.61,140870.56,150577.54
SJPG0100551.001,sp|P68871|HBB_HUMAN,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2,HBB,323,14,0,89.79,9995092.22,14912443,19210383.81,42656490.02,11736847.2,28244000.8,9382242.07,15845187.03,20537864.61,10543105.85,5755804.86,16775201.79,9818811.7,17627112.43,13642726.51,14148693.67,8489743.13,16984959.14,20994839.33,15357767.18
SJPG0121342.001,sp|Q13077|TRAF1_HUMAN,TNF receptor-associated factor 1 OS=Homo sapiens OX=9606 GN=TRAF1 PE=1 SV=1,TRAF1,2,2,0,4.33,49534.21,46053.39,50141.66,69453.82,52162.88,66285.36,54475.88,48498.48,51876.04,49553.28,57829.33,53929.82,69008.88,44181.88,49297.55,53845.36,59792.93,55072.85,53193.49,55420.89
SJPG0112805.002,sp|Q96A83-2|COQA1_HUMAN,Isoform 2 of Collagen alpha-1(XXVI) chain OS=Homo sapiens OX=9606 GN=COL26A1,COL26A1,14,4,0,8.43,866847.74,1443772.15,860483.75,1187699.6,501202.23,1076487.95,873556.54,715748.17,684572.06,1000367.21,1005932.03,1141612.09,1411805.32,1471518.41,1105250.44,1340515.42,1520931.55,939483.16,886432.17,2433475.49
SJPG0103599.001,sp|Q3ZCW2|LEGL_HUMAN,Galectin-related protein OS=Homo sapiens OX=9606 GN=LGALSL PE=1 SV=2,LGALSL,24,7,5,59.3,283510.51,238474.13,272197.56,304094.25,256590.54,240727.79,258389.43,247624.92,280730.27,381556.77,242051.45,222600.4,211496.91,222147.17,243134.17,245489.06,224889.07,296406.73,251920.78,242787.48
SJPG0106092.001,sp|Q9Y5U2|TSSC4_HUMAN,Protein TSSC4 OS=Homo sapiens OX=9606 GN=TSSC4 PE=1 SV=3,TSSC4,2,2,0,7.9,49459.75,80190.87,85189.54,76607.29,48345.81,102758.55,53862.35,85747.11,88682.94,65894.83,70253.25,63864.46,64458.84,73751.51,70625.49,74616.64,53962.58,64379.42,57868.28,121720.81
SJPG0109881.001,sp|Q96LI5|CNO6L_HUMAN,CCR4-NOT transcription complex subunit 6-like OS=Homo sapiens OX=9606 GN=CNOT6L PE=1 SV=2,CNOT6L,1,1,0,1.26,143928.85,195246.13,179166.38,187900.53,171664.4,123060.65,145142.07,165711.5,284377.78,215309.47,186159.57,193623.88,163207.93,177047.75,176194.03,160735.22,197047.51,186045.33,180666.16,279727.94
SJPG0100407.001,sp|P15104|GLNA_HUMAN,Glutamine synthetase OS=Homo sapiens OX=9606 GN=GLUL PE=1 SV=4,GLUL,129,22,0,58.44,2651227.58,5886190.5,4240804.75,3548942.68,4919450.98,5533372.18,3639281.93,3381683.52,3854013.15,3396177.17,2068773.81,4415003.19,4374003.42,4985550.1,3410937.58,4720657.76,2772118.45,4057436.55,3667493.15,5201289.21
SJPG0112805.001,sp|Q96A83|COQA1_HUMAN,Collagen alpha-1(XXVI) chain OS=Homo sapiens OX=9606 GN=COL26A1 PE=1 SV=1,COL26A1,12,3,0,6.12,878626.68,1430095.55,853822.74,1192073.16,493264.67,1140334.06,854256.61,791811,623923.05,1128625,1064161.26,1109668.29,1405588.43,1476201.4,1142542.75,1421857.44,1475914.17,857297.93,883545.52,2457634.36
SJPG0103127.073,tr|A0A2K4N869|A0A2K4N869_HUMAN,MHC class I antigen OS=Homo sapiens OX=9606 GN=HLA-C PE=3 SV=1,HLA-C,7,1,0,5.71,165919.94,141959.25,212513.95,291177.56,107370.84,165508.14,196418.55,216713.24,356532.26,175239.64,149546.51,134557.7,211831.57,125934.05,151027.37,164905.77,136514.6,179175.34,116046.93,123843.68
SJPG0119865.001,sp|Q5TEA6|SE1L2_HUMAN,Protein sel-1 homolog 2 OS=Homo sapiens OX=9606 GN=SEL1L2 PE=2 SV=2,SEL1L2,1,1,0,1.16,153666.83,183338.46,208135.9,198676.65,128977.1,221061.46,132264.3,190400.8,290775.09,169383.89,173108.53,262488.65,246385.04,185394.47,205208.98,183216.74,160886.57,174847.23,165751.85,184732.21
SJPG0106147.001,sp|Q8N398|VW5B2_HUMAN,von Willebrand factor A domain-containing protein 5B2 OS=Homo sapiens OX=9606 GN=VWA5B2 PE=2 SV=3,VWA5B2,3,3,3,2.66,56457.76,59436.48,60141.3,61145.61,83150.48,53209.04,51873.33,53041.75,98739.34,66663.84,54306.02,67628.92,65293.78,68820.21,58888.7,69286.69,51042.55,61140.33,67192.08,118610.25
SJPG0105492.001,sp|Q6DKJ4|NXN_HUMAN,Nucleoredoxin OS=Homo sapiens OX=9606 GN=NXN PE=1 SV=2,NXN,6,5,2,12.41,121474.89,143525.04,130704,168781.38,107278.78,93777.91,134173.53,180992.67,158461.49,191419.57,126156.26,111282.76,120244.74,121738.64,120489.89,109718.68,137593.35,123242.29,128903.17,83965.13
SJPG0102854.003,sp|Q16537-3|2A5E_HUMAN,Isoform 3 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform OS=Homo sapiens OX=9606 GN=PPP2R5E,PPP2R5E,23,8,1,22.25,617666.4,643569.95,572768.73,654776.16,634619.87,609098.18,525277.22,734667.98,651014.42,1041378.77,650735.67,598278.85,571527.65,592984.4,584266.46,547174.14,479544.63,740855.28,557225.85,616459.12
SJPG0109788.001,sp|Q7Z3Z4|PIWL4_HUMAN,Piwi-like protein 4 OS=Homo sapiens OX=9606 GN=PIWIL4 PE=1 SV=2,PIWIL4,1,1,0,2.23,49421.33,83491.93,69506.03,81001.56,48277.78,90181.28,64998.1,43077.19,98548.5,53708.65,47887.78,115570.31,121997.78,118340.28,61459.68,69932.62,132591.88,109173.48,68535.83,153811.91
SJPG0102013.001,sp|O75112|LDB3_HUMAN,LIM domain-binding protein 3 OS=Homo sapiens OX=9606 GN=LDB3 PE=1 SV=2,LDB3,23,12,0,20.91,238031.71,363216.27,209724.39,531017.22,211555.01,495270.36,201048.96,351483.85,302190.55,284940.24,372082.26,182620.16,174108.58,149574.68,184505.48,179722.55,169098.58,275259.65,181107.4,342886.65
SJPG0105674.001,sp|Q9BWU1|CDK19_HUMAN,Cyclin-dependent kinase 19 OS=Homo sapiens OX=9606 GN=CDK19 PE=1 SV=1,CDK19,4,3,0,4.78,110745.64,107898.2,101458.66,90110.13,98266.51,107457.88,102103.32,109848.93,77032.33,88786.07,182001.97,122897.88,98090.33,93290.55,125527.95,137739.07,127060.82,102195.74,116941.1,105619.64
SJPG0108416.001,sp|Q8N0V3|RBFA_HUMAN,"Putative ribosome-binding factor A, mitochondrial OS=Homo sapiens OX=9606 GN=RBFA PE=1 SV=3",RBFA,1,1,0,3.21,61273.66,47062.75,47402.46,62273.43,65070.03,52791.23,49318.89,51430.96,58602.3,66028.65,57017.72,61025.14,45761.52,44120.75,47613.24,57670.9,39980.83,53009.37,50692.85,99436.09
SJPG0101104.001,sp|P67775|PP2AA_HUMAN,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP2CA PE=1 SV=1,PPP2CA,178,22,0,70.87,6689169.72,5601102.22,6351963.62,5657818.84,6652951.01,6051061.43,6277220.22,4581849.22,5684394.88,6638888.69,5719022.82,5307567.84,5319213.39,5620440.71,4913594.81,5388389.53,6233084.56,6159464.13,5700349.63,5554270.15
SJPG0102563.001,sp|P48681|NEST_HUMAN,Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2,NES,138,52,0,37.51,792018.58,1373465.93,1202637.39,798746.12,556848.14,1348104.33,866157.31,1204319.96,1090825.73,609986.95,475072,628809.39,632868.81,746851.66,529119,881770.56,495412.31,694600,692574.45,544889.46
SJPG0104423.001,sp|O76021|RL1D1_HUMAN,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3,RSL1D1,9,7,1,14.08,126974.77,146087.81,126883.04,162651.59,124951.63,191631.35,126270.22,130095.53,165121.7,169477.24,163466.17,148598.34,124093.34,124908.39,150465.34,160323.37,126237.9,183146.15,188759.83,180149.43
SJPG0101722.001,sp|P63302|SELW_HUMAN,Selenoprotein W OS=Homo sapiens OX=9606 GN=SELENOW PE=1 SV=3,SELENOW,8,3,0,24.14,713856.15,971506.58,598009.72,753562.73,812514.77,1453261.67,608535.32,682260.35,834140.77,928612.65,1112341.8,708458.66,590766.82,566591.27,722184.92,492934.49,694856.28,802709.48,596977.36,751114.72
SJPG0101865.001,sp|P78357|CNTP1_HUMAN,Contactin-associated protein 1 OS=Homo sapiens OX=9606 GN=CNTNAP1 PE=1 SV=1,CNTNAP1,317,54,54,38.44,1899936.44,2617795.02,3034989.23,1906234.07,1520392.22,2901806.53,2215605.49,2309476.83,2581806.43,1940584.6,2056638.86,2839313.89,3549685.32,3270575.73,2406952.56,2230602.8,1980797.86,2037607.95,1877296.6,3235300.06
SJPG0104049.001,sp|P02730|B3AT_HUMAN,Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3,SLC4A1,35,15,0,21.51,202077.02,264890.87,381448.04,657791.21,228412.79,391938.74,216718.02,407237.09,488510.43,320422.73,226339.23,381459.99,305593.97,347692.81,316729.08,275042.34,239122.97,365186.67,334718.65,438249.08
SJPG0101191.001,sp|P13611|CSPG2_HUMAN,Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3,VCAN,266,36,0,10.51,4433478.22,7433520.79,9747967.15,7280441.28,3687854.22,8675962.14,6006894.54,5424995.11,6418777.79,5555556.76,5314816.22,7385290.8,6748136.69,5857303.76,8023017.91,5579194.97,5042889.49,8122932.5,5223547.34,10830254.7
SJPG0120763.001,sp|Q5VWN6|TASO2_HUMAN,Protein TASOR 2 OS=Homo sapiens OX=9606 GN=TASOR2 PE=1 SV=1,TASOR2,5,4,0,2.06,265086.22,239516.67,212716.46,187750.4,272953.26,1168906.26,180692.77,167423.56,343337.25,339955.5,323098.04,302024.27,207533.43,285914.18,318278.67,217064.93,132723.63,242175.01,174459.18,386388.9
SJPG0101016.001,sp|P43304|GPDM_HUMAN,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3",GPD2,45,24,1,41.95,186517.03,346258.31,283584.42,236266.78,178237.92,260668.31,213313.41,239177.65,253104.57,195859.01,159283.6,278495.53,297605.19,286980.55,238411.78,232312.33,192145.07,292934.51,225221.64,317696.33
SJPG0103905.001,sp|Q9NTU7|CBLN4_HUMAN,Cerebellin-4 OS=Homo sapiens OX=9606 GN=CBLN4 PE=1 SV=1,CBLN4,1,1,1,3.48,143987.49,214155.03,245302.51,199180.64,105761.36,226525.03,194771.48,155072.44,207869.29,160806.67,151587.52,324912.62,442542.68,352203.34,301465.85,246814.8,277742.13,245411.46,181537.52,411901.65
